GR-IDENTIFICACAO-UORG;IT-NO-UNIDADE-ORGANIZACIONAL;IT-SG-UNIDADE-ORGANIZACIONAL;IT-SG-UF;GR-CEST-IDENTIFICACAO-UPAG;IT-CO-UORG-VINCULACAO
33200000000232;ARTE EM IJUI;ARTE-IJUI;RS;33200000001094;33200000000230
33200000001480;AG REGIONAL DO TRAB E EMPR EM IJUA A;ARTE-IJUI;RS;33200000001094;33200000000230
33200000000468;MTE/SRTE-RJ/ARTE-ILHA GOVERNADOR;ARTE-ILHAG;RJ;33200000001094;33200000000412
33200000000102;ARTE EM INHUMAS;ARTE-INHUM;GO;33200000001094;33200000000081
33200000001345;AG REGIONAL DO TRAB E EMPR EM INHUMAS;ARTE-INHUM;GO;33200000001094;33200000000081
33200000000598;MTE/SRTE-PE/ARTE-IPOJUCA;ARTE-IPOJU;PE;33200000001094;33200000000578
33200000000992;MTE/SRTE-BA/.../ARTE-IRECE;ARTE-IRECE;BA;33200000001094;33200000000990
33200000000198;MTE/SRTE-SE/ARTE-ITABAIANA;ARTE-ITABA;SE;33200000001094;33200000001693
33200000000869;MTE/SRTE-MG/ARTE-ITABIRA;ARTE-ITABI;MG;33200000001094;33200000000848
33200000000454;MTE/SRTE-RJ/GRTE-NITEROI/ARTE-ITABORAI;ARTE-ITABO;RJ;33200000001094;33200000000453
33200000001011;MTE/SRTE-BA/GRTE-ILHEUS/ARTE-ITABUNA;ARTE-ITABU;BA;33200000001094;33200000001010
33200000000541;MTE/SRTE-AM/ARTE-ITACOATIARA;ARTE-ITACO;AM;33200000001094;33200000000531
33200000000956;MTE/SRTE-PA/GRTE-SANTAREM/ARTE-ITAITUBA;ARTE-ITAIT;PA;33200000001094;33200000000954
33200000000922;ARTE EM ITAJUBA;ARTE-ITAJU;MG;33200000001094;33200000000919
33200000001429;AG REGIONAL DO TRAB E EMPR EM ITAJ;ARTE-ITAJU;MG;33200000001094;33200000000919
33200000000370;MTE/SRTE-SP/GRTE-SANTOS/ARTE-ITANHAEM;ARTE-ITANH;SP;33200000001094;33200000000368
33200000000322;MTE/SRTE-SP/.../ARTE-ITAPETININGA;ARTE-ITAPE;SP;33200000001094;33200000000314
33200000000323;MTE/SRTE-SP/GRTE-SOROCABA/ARTE-ITAPEVA;ARTE-ITAPE;SP;33200000001094;33200000000314
33200000001489;AG REGIONAL DO TRAB E EMPR EM ITAPERUNA;ARTE-ITAPE;RJ;33200000001094;33200000000459
33200000000516;MTE/SRTE-CE/GRTE-SOBRAL/ARTE-ITAPIPOCA;ARTE-ITAPI;CE;33200000001094;33200000000515
33200000000935;MTE/SRTE-MG/GRTE-DIVINOPOLIS/ARTE-ITAUNA;ARTE-ITAUN;MG;33200000001094;33200000000933
33200000000864;MTE/SRTE-MG/.../ARTE-ITUIUTABA;ARTE-ITUIU;MG;33200000001094;33200000000861
33200000000095;ARTE EM ITUMBIARA;ARTE-ITUMB;GO;33200000001094;33200000000081
33200000001346;AG REGIONAL DO TRAB E EMPR EM ITUMBIARA;ARTE-ITUMB;GO;33200000001094;33200000000081
33200000000589;MTE/SRTE-PE/ARTE-JAB GUARARAPES;ARTE-JABGU;PE;33200000001094;33200000000578
33200000000400;MTE/SRTE-SP/.../ARTE-JABOTICABAL;ARTE-JABOT;SP;33200000001094;33200000000396
33200000000469;MTE/SRTE-RJ/ARTE-JACAREPAGUA;ARTE-JACAR;RJ;33200000001094;33200000000412
33200000000988;MTE/SRTE-BA/GRTE-JUAZEIRO/ARTE-JACOBINA;ARTE-JACOB;BA;33200000001094;33200000000985
33200000000161;ARTE EM JARAGUA DO SUL;ARTE-JARAG;SC;33200000001094;33200000000160
33200000001534;ARTE-JAR-DO-SUL;ARTE-JAR-D;SC;33200000001094;33200000000160
33200000000103;ARTE EM JATAI;ARTE-JATAI;GO;33200000001094;33200000000081
33200000001354;AG REGIONAL DO TRAB E EMPR EM JATAI;ARTE-JATAI;GO;33200000001094;33200000000081
33200000000330;MTE/SRTE-SP/GRTE-BAURU/ARTE-JAU;ARTE-JAU;SP;33200000001094;33200000000327
33200000001005;MTE/SRTE-BA/.../ARTE-JEQUIE;ARTE-JEQUI;BA;33200000001094;33200000001004
33200000000577;ARTE EM JI-PARANA;ARTE-JI-PA;RO;33200000001094;33200000000556
33200000001525;ARTE-JOAO-MONLEVADE;ARTE-JMONL;MG;33200000001094;33200000000866
33200000000151;ARTE EM JOACABA;ARTE-JOACA;SC;33200000001094;33200000000147
33200000001373;AG REGIONAL DO TRAB E EMPR EM JOACABA;ARTE-JOACA;SC;33200000001094;33200000000147
33200000000867;ARTE EM JOAO MONLEVADE;ARTE-JOAOM;MG;33200000001094;33200000000866
33200000000501;ARTE EM JUAZEIRO DO NORTE;ARTE-JUAZE;CE;33200000001094;33200000000495
33200000000197;MTE/SRTE-SE/ARTE-LAGARTO;ARTE-LAGAR;SE;33200000001094;33200000001693
33200000000156;MTE/SRTE-SC/GRTE-CRICIUMA/ARTE-LAGUNA;ARTE-LAGUN;SC;33200000001094;33200000000152
33200000000857;MTE/SRTE-MG/GRTE-VARGINHA/ARTE-LAVRAS;ARTE-LAVRA;MG;33200000001094;33200000000849
33200000000497;MTE/SRTE-CE/ARTE-LIMOEIRO;ARTE-LIMOE;CE;33200000001094;33200000000495
33200000000668;MTE/SRTE-ES/GRTE-COLATINA/ARTE-LINHARES;ARTE-LINHA;ES;33200000001094;33200000000666
